frequency_MHz,y,sy
1820,-0.00142,0.00163
1821,0.00035,0.00184
1822,0.00077,0.00120
1823,0.00091,0.00170
1824,0.00137,0.00110
1825,0.00155,0.00184
1826,0.00268,0.00127
1827,0.00473,0.00170
1828,0.00820,0.00120
1829,0.01488,0.00166
1830,0.02732,0.00138
1831,0.03146,0.00177
1832,0.02202,0.00138
1833,0.00897,0.00198
1834,0.01039,0.00163
1835,0.02057,0.00191
1836,0.04228,0.00170
1837,0.05094,0.00230
1838,0.04754,0.00131
1839,0.02350,0.00230
1840,0.01127,0.00138
1841,0.00646,0.00173
1842,0.00448,0.00131
1843,0.00275,0.00170
1844,0.00102,0.00131
1845,0.00088,0.00145
1846,0.00056,0.00127
1847,0.00169,0.00134
1848,0.00003,0.00095
1849,0.00148,0.00177
1850,-0.00022,0.00191
