model,rtol,abstol,save_points,wall_seconds,photons,accepted_steps,rejected_steps,rhs_calls,solver_elapsed_seconds,rhs_calls_per_second
per_J_sinks,0.03,3e-05,201,1.7947667999542318,19216288.6715705,28580,10,171541.0,,95578.43392488341
per_J_sinks,0.01,1e-05,201,1.79896640003426,1.1419979180634725,28617,3,171721.0,,95455.36814735933
per_J_sinks,0.003,3e-06,201,1.7243713000207208,1.1772062886723607,28619,3,171733.0,,99591.65986927315
per_J_sinks,0.001,1e-06,201,1.7216830999823287,1.1771783653278405,28579,2,171487.0,,99604.27676949384
per_J_sinks,0.0003,3e-07,201,1.6980786999920383,1.177179917378832,28573,1,171445.0,,100964.10725887078
per_J_sinks,0.0001,1e-07,201,1.7062311000190675,1.177180443122054,28568,0,171409.0,,100460.59997270268
per_J_sinks,3e-05,3e-08,201,1.7275281000183895,1.1771805974357445,28561,0,171367.0,,99197.80754835525
per_J_sinks,1e-05,1e-08,201,1.7276082000462338,1.177180819294235,28560,1,171367.0,,99193.20827223088
per_J_sinks,3e-06,3e-09,201,1.8518914000014775,1.1771810628528236,28577,0,171463.0,,92588.04268968645
per_J_sinks,1e-06,1e-09,201,1.7676148999598809,1.1771811221141828,28615,1,171697.0,,97134.84538057298
per_J_sinks,3e-07,3e-10,201,1.7203841999871656,1.177181140646179,28685,0,172117.0,,100045.67584454916
